Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
10;3;Rovaniemi;10;5;3;2;20;10;10;18;1.8
10;4;JJK Jyvaskyla;10;5;3;2;20;15;5;18;1.8
10;5;Jazz Pori;10;5;1;4;13;17;-4;16;1.6
10;6;SalPa;10;4;3;3;20;17;3;15;1.5
10;7;VJS;9;3;4;2;17;10;7;13;1.444
10;8;Keski-Uusimaa;8;3;2;3;13;9;4;11;1.375
10;9;Inter Turku 2;10;3;2;5;20;24;-4;11;1.1
10;10;KuPS Akatemia;10;2;1;7;13;21;-8;7;0.7
10;11;TPV;10;1;3;6;9;19;-10;6;0.6
10;12;KPV;10;1;2;7;7;38;-31;5;0.5
10;13;Kormakur/Hvot;1;1;0;0;4;0;4;3;3.0
10;14;Dalvik/Reynir;1;1;0;0;1;0;1;3;3.0
10;15;Olafsvik;1;1;0;0;1;0;1;3;3.0
10;16;Grotta;1;0;1;0;2;2;0;1;1.0
10;17;Volsungur;1;0;1;0;2;2;0;1;1.0
10;18;Kari;1;0;1;0;1;1;0;1;1.0
10;19;Magni;1;0;1;0;1;1;0;1;1.0
10;20;Throttur;1;0;1;0;1;1;0;1;1.0
10;21;Vestri;1;0;1;0;1;1;0;1;1.0
10;22;KFA;1;0;0;1;0;1;-1;0;0.0
10;23;KFG Gardabaer;1;0;0;1;0;1;-1;0;0.0
10;24;Hviti;1;0;0;1;0;4;-4;0;0.0
11;1;Tampere Utd;11;8;1;2;24;6;18;25;2.273
11;2;Rovaniemi;11;6;3;2;22;10;12;21;1.909
11;3;OLS Oulu;12;6;3;3;23;13;10;21;1.75
11;4;JJK Jyvaskyla;12;6;3;3;24;20;4;21;1.75
11;5;SalPa;11;5;3;3;24;20;4;18;1.636
11;6;Jazz Pori;11;5;2;4;14;18;-4;17;1.545
11;7;Keski-Uusimaa;9;4;2;3;16;10;6;14;1.556
11;8;VJS;10;3;4;3;17;12;5;13;1.3
11;9;Inter Turku 2;11;3;3;5;21;25;-4;12;1.091
11;10;KuPS Akatemia;11;2;1;8;16;25;-9;7;0.636
11;11;TPV;10;1;3;6;9;19;-10;6;0.6
11;12;KPV;11;1;2;8;9;41;-32;5;0.455
11;13;Kormakur/Hvot;1;1;0;0;4;0;4;3;3.0
11;14;Dalvik/Reynir;1;1;0;0;1;0;1;3;3.0
11;15;Olafsvik;1;1;0;0;1;0;1;3;3.0
11;16;Grotta;1;0;1;0;2;2;0;1;1.0
11;17;Volsungur;1;0;1;0;2;2;0;1;1.0
11;18;Kari;1;0;1;0;1;1;0;1;1.0
11;19;Magni;1;0;1;0;1;1;0;1;1.0
11;20;Throttur;1;0;1;0;1;1;0;1;1.0
11;21;Vestri;1;0;1;0;1;1;0;1;1.0
11;22;KFA;1;0;0;1;0;1;-1;0;0.0
11;23;KFG Gardabaer;1;0;0;1;0;1;-1;0;0.0
11;24;Hviti;1;0;0;1;0;4;-4;0;0.0
12;1;Tampere Utd;12;9;1;2;25;6;19;28;2.333
12;2;JJK Jyvaskyla;13;7;3;3;35;21;14;24;1.846
12;3;Rovaniemi;12;6;4;2;24;12;12;22;1.833
12;4;OLS Oulu;13;6;4;3;25;15;10;22;1.692
12;5;SalPa;12;5;4;3;26;22;4;19;1.583
12;6;Jazz Pori;12;5;2;5;14;19;-5;17;1.417
12;7;Keski-Uusimaa;10;4;3;3;18;12;6;15;1.5
12;8;VJS;10;3;4;3;17;12;5;13;1.3
12;9;Inter Turku 2;12;3;3;6;22;36;-14;12;1.0
12;10;KuPS Akatemia;12;2;2;8;18;27;-9;8;0.667
12;11;TPV;11;1;4;6;11;21;-10;7;0.636
12;12;KPV;11;1;2;8;9;41;-32;5;0.455
12;13;Kormakur/Hvot;1;1;0;0;4;0;4;3;3.0
12;14;Dalvik/Reynir;1;1;0;0;1;0;1;3;3.0
12;15;Olafsvik;1;1;0;0;1;0;1;3;3.0
12;16;Grotta;1;0;1;0;2;2;0;1;1.0
12;17;Volsungur;1;0;1;0;2;2;0;1;1.0
12;18;Kari;1;0;1;0;1;1;0;1;1.0
12;19;Magni;1;0;1;0;1;1;0;1;1.0
12;20;Throttur;1;0;1;0;1;1;0;1;1.0
12;21;Vestri;1;0;1;0;1;1;0;1;1.0
12;22;KFA;1;0;0;1;0;1;-1;0;0.0
12;23;KFG Gardabaer;1;0;0;1;0;1;-1;0;0.0
12;24;Hviti;1;0;0;1;0;4;-4;0;0.0
13;1;Tampere Utd;12;9;1;2;25;6;19;28;2.333
13;2;JJK Jyvaskyla;13;7;3;3;35;21;14;24;1.846
13;3;Rovaniemi;12;6;4;2;24;12;12;22;1.833
13;4;OLS Oulu;13;6;4;3;25;15;10;22;1.692
13;5;SalPa;12;5;4;3;26;22;4;19;1.583
13;6;Keski-Uusimaa;11;5;3;3;21;13;8;18;1.636
13;7;Jazz Pori;12;5;2;5;14;19;-5;17;1.417
13;8;VJS;11;4;4;3;19;13;6;16;1.455
13;9;Inter Turku 2;12;3;3;6;22;36;-14;12;1.0
13;10;KuPS Akatemia;12;2;2;8;18;27;-9;8;0.667
13;11;TPV;12;1;4;7;12;23;-11;7;0.583
13;12;KPV;12;1;2;9;10;44;-34;5;0.417
13;13;Kormakur/Hvot;1;1;0;0;4;0;4;3;3.0
13;14;Dalvik/Reynir;1;1;0;0;1;0;1;3;3.0
13;15;Olafsvik;1;1;0;0;1;0;1;3;3.0
13;16;Grotta;1;0;1;0;2;2;0;1;1.0
13;17;Volsungur;1;0;1;0;2;2;0;1;1.0
13;18;Kari;1;0;1;0;1;1;0;1;1.0
13;19;Magni;1;0;1;0;1;1;0;1;1.0
13;20;Throttur;1;0;1;0;1;1;0;1;1.0
13;21;Vestri;1;0;1;0;1;1;0;1;1.0
13;22;KFA;1;0;0;1;0;1;-1;0;0.0
13;23;KFG Gardabaer;1;0;0;1;0;1;-1;0;0.0
13;24;Hviti;1;0;0;1;0;4;-4;0;0.0
