PredictionDate;AlgorithmVersion;LeagueId;Round;Home;Away;Match;Score;Band;Reason;RankingGapScore;HomeAttackScore;AwayAttackScore;HomeDefenseWeaknessScore;AwayDefenseWeaknessScore;HomeLast10OverScore;AwayLast10OverScore;HomeVenueOverScore;AwayVenueOverScore;BTTSProfileScore;HG;AG;Goals;Over25;BTTS
2026-06-28;v21;Finland_Ykkonen_2026;13;OLS Oulu;KuPS Akatemia;OLS Oulu - KuPS Akatemia;77.48;ALTA;;;;;;;;;;;;2;2;4;OK;OK
2026-06-28;v21;Norway_3rdDivision_Group3_2026;13;Varegg;V. Haugesund;Varegg - V. Haugesund;77.45;ALTA;;;;;;;;;;;;1;1;2;KO;OK
2026-06-28;v21;Sweden_Division2_SodraSvealand_2026;15;Ragsved;Forward;Ragsved - Forward;75.99;ALTA;;;;;;;;;;;;1;2;3;OK;OK
2026-06-28;v21;Norway_2ndDivision_Group1_2026;13;Sotra;Jerv;Sotra - Jerv;75.25;ALTA;;;;;;;;;;;;1;3;4;OK;OK
2026-06-28;v21;Iceland_BestaDeildKarla_2026;17;Thor Akureyri;Valur;Thor Akureyri - Valur;74.75;MEDIA;;;;;;;;;;;;2;4;6;OK;OK
2026-06-28;v21;Sweden_Superettan_2026;15;Landskrona;Värnamo;Landskrona - Värnamo;74.04;MEDIA;;;;;;;;;;;;1;0;1;KO;KO
2026-06-28;v21;Norway_2ndDivision_Group2_2026;13;Stjordals Blink;Junkeren;Stjordals Blink - Junkeren;73.7;MEDIA;;;;;;;;;;;;1;1;2;KO;OK
2026-06-28;v21;Norway_2ndDivision_Group2_2026;13;Skeid;Trygg/Lade;Skeid - Trygg/Lade;73.69;MEDIA;;;;;;;;;;;;7;1;8;OK;OK
2026-06-28;v21;Sweden_Superettan_2026;15;Sandviken;Helsingborg;Sandviken - Helsingborg;73.29;MEDIA;;;;;;;;;;;;4;2;6;OK;OK
2026-06-28;v21;Sweden_Division2_SodraSvealand_2026;15;Karlslund;Fittja;Karlslund - Fittja;73.16;MEDIA;;;;;;;;;;;;2;2;4;OK;OK
2026-06-28;v21;Sweden_Division1_Norra_2026;15;Umeå;Jarfalla;Umeå - Jarfalla;71.57;MEDIA;;;;;;;;;;;;1;3;4;OK;OK
2026-06-28;v21;Finland_Ykkonen_2026;13;KPV;Keski-Uusimaa;KPV - Keski-Uusimaa;69.93;MEDIA;;;;;;;;;;;;1;3;4;OK;OK
2026-06-28;v21;Sweden_Division2_SodraSvealand_2026;15;Orebro Syr.;Syrianska;Orebro Syr. - Syrianska;63.3;MEDIA;;;;;;;;;;;;3;0;3;OK;KO
2026-06-28;v21;Sweden_Superettan_2026;15;Norrkoping;Norrby;Norrkoping - Norrby;59.3;BASSA;;;;;;;;;;;;0;1;1;KO;KO
2026-06-28;v21;Finland_Ykkosliiga_2026;13;KaPa;JaPS;KaPa - JaPS;50.56;BASSA;;;;;;;;;;;;2;1;3;OK;OK
2026-06-28;2.1.0;USA_USLLeagueTwo_MidAtlantic_2026;20260629;Philadelphia Lone Star;Ocean City;Philadelphia Lone Star - Ocean City;81.52;ALTA;;;;;;;;;;;;0;4;4;OK;KO
2026-06-28;2.1.0;USA_USLLeagueTwo_GreatForest_2026;20260629;Erie Sports Center;Pittsburgh Riverhounds 2;Erie Sports Center - Pittsburgh Riverhounds 2;77.6;ALTA;;;;;;;;;;;;0;4;4;OK;KO
2026-06-28;2.1.0;USA_USLLeagueTwo_Northeast_2026;20260629;Seacoast Utd Phantoms;Black Rock;Seacoast Utd Phantoms - Black Rock;77.23;ALTA;;;;;;;;;;;;1;3;4;OK;OK
2026-06-28;2.1.0;USA_USLLeagueTwo_NorCal_2026;20260629;Glens SC;San Francisco City;Glens SC - San Francisco City;69.47;MEDIA;;;;;;;;;;;;0;2;2;KO;KO
2026-06-29;2.1.0;USA_USLLeagueTwo_Northeast_2026;20260629;Albany Rush;Boston Bolts;Albany Rush - Boston Bolts;93.08;ALTA;;;;;;;;;;;;1;0;1;KO;KO
2026-06-29;2.1.0;USA_USLLeagueTwo_NorCal_2026;20260629;Academica SC;Marin;Academica SC - Marin;92.65;ALTA;;;;;;;;;;;;3;2;5;OK;OK
2026-06-29;2.1.0;USA_USLLeagueTwo_Mountain_2026;20260629;Atletico Union;Real Colorado;Atletico Union - Real Colorado;92.42;ALTA;;;;;;;;;;;;2;2;4;OK;OK
2026-06-29;2.1.0;USA_USLLeagueTwo_Northwest_2026;20260629;Tacoma Stars;West Seattle Junction;Tacoma Stars - West Seattle Junction;85.88;ALTA;;;;;;;;;;;;1;2;3;OK;OK
2026-06-29;2.1.0;Iceland_Division_1_2026;17;Afturelding;Aegir;Afturelding - Aegir;85.43;ALTA;;;;;;;;;;;;8;1;9;OK;OK
2026-06-29;2.1.0;USA_USLLeagueTwo_Northwest_2026;20260629;Portland Bangers;Bigfoot;Portland Bangers - Bigfoot;85.15;ALTA;;;;;;;;;;;;2;0;2;KO;KO
2026-06-29;2.1.0;USA_USLLeagueTwo_SouthFlorida_2026;16;Miami;Brevard SC;Miami - Brevard SC;80.37;ALTA;;;;;;;;;;;;2;3;5;OK;OK
2026-06-29;2.1.0;Iceland_BestaDeildKarla_2026;17;Akranes;Fram;Akranes - Fram;80.12;ALTA;;;;;;;;;;;;0;2;2;KO;KO
2026-06-29;2.1.0;USA_USLLeagueTwo_MidAtlantic_2026;20260629;West Chester Utd;LVU Rush;West Chester Utd - LVU Rush;79.63;ALTA;;;;;;;;;;;;2;3;5;OK;OK
2026-06-29;2.1.0;USA_USLLeagueTwo_LoneStar_2026;20260629;Hill Country Lobos;Lonestar SC;Hill Country Lobos - Lonestar SC;74.36;MEDIA;;;;;;;;;;;;3;5;8;OK;OK
2026-06-29;2.1.0;USA_USLLeagueTwo_Mountain_2026;20260629;Albion Colorado;Colorado Storm;Albion Colorado - Colorado Storm;71.94;MEDIA;;;;;;;;;;;;0;1;1;KO;KO
2026-06-29;2.1.0;USA_USLLeagueTwo_SouthFlorida_2026;16;Weston;Lakeland United;Weston - Lakeland United;65.15;MEDIA;;;;;;;;;;;;2;3;5;OK;OK
2026-06-29;2.1.0;Finland_Ykkonen_2026;13;VJS;TPV;VJS - TPV;64.81;MEDIA;;;;;;;;;;;;2;1;3;OK;OK
2026-06-29;2.1.0;USA_USLLeagueTwo_SouthCentral_2026;18;Swarm FC;Dothan United;Swarm FC - Dothan United;64.38;MEDIA;;;;;;;;;;;;3;1;4;OK;OK
2026-06-29;2.1.0;USA_USLLeagueTwo_SouthAtlantic_2026;20260629;Asheville City;Charlotte Independ. 2;Asheville City - Charlotte Independ. 2;54.56;BASSA;;;;;;;;;;;;1;0;1;KO;KO
2026-06-29;2.1.0;Estonia_Esiliiga_2026;18;Nomme Utd U21;Flora U21;Nomme Utd U21 - Flora U21;98.42;ALTA;;;;;;;;;;;;3;3;6;OK;OK
2026-06-29;2.1.0;Finland_Kakkonen_GroupC_2026;11;SJK Akatemia 2;Vaajakoski;SJK Akatemia 2 - Vaajakoski;78.98;ALTA;;;;;;;;;;;;3;0;3;OK;KO
2026-06-29;2.1.0;Australia_QueenslandPremierLeague_2026;17;Logan Lightning;Redlands;Logan Lightning - Redlands;77.4;ALTA;;;;;;;;;;;;5;1;6;OK;OK
2026-06-29;2.1.0;Latvia_Virsliga_2026;21;FK Liepaja;Ogre United;FK Liepaja - Ogre United;75.67;ALTA;;;;;;;;;;;;4;1;5;OK;OK
2026-06-29;2.1.0;Australia_NPL_NSW_U20_2026;22;SD Raiders U20;Sydney FC U20;SD Raiders U20 - Sydney FC U20;74.61;MEDIA;;;;;;;;;;;;4;3;7;OK;OK
2026-06-29;2.1.0;Latvia_Virsliga_2026;21;RFS;BFC Daugavpils;RFS - BFC Daugavpils;62.34;MEDIA;;;;;;;;;;;;4;1;5;OK;OK
2026-06-29;2.1.0;Australia_NPLNSW_2026;22;SD Raiders;Sydney FC U23;SD Raiders - Sydney FC U23;62.09;MEDIA;;;;;;;;;;;;0;1;1;KO;KO
2026-06-30;2.1.0;Lithuania_Toplyga_2026;23;FA Siauliai;Transinvest;FA Siauliai - Transinvest;75.59;ALTA;;;;;;;;;;;;0;4;4;OK;KO
2026-06-30;2.1.0;Latvia_Virsliga_2026;21;Auda;Riga FC;Auda - Riga FC;73.12;MEDIA;;;;;;;;;;;;1;2;3;OK;OK
2026-06-30;2.1.0;FaroeIslands_PremierLeague_2026;16;Vikingur;Runavik;Vikingur - Runavik;66.59;MEDIA;;;;;;;;;;;;3;3;6;OK;OK
2026-06-30;2.1.0;FaroeIslands_PremierLeague_2026;16;HB Torshavn;Skala Itrottarfelag;HB Torshavn - Skala Itrottarfelag;64.24;MEDIA;;;;;;;;;;;;4;1;5;OK;OK
2026-06-30;2.1.0;FaroeIslands_PremierLeague_2026;16;Toftir;Argir;Toftir - Argir;63.07;MEDIA;;;;;;;;;;;;0;1;1;KO;KO
2026-06-30;2.1.0;Lithuania_Toplyga_2026;23;FK Panevezys;Suduva;FK Panevezys - Suduva;62.18;MEDIA;;;;;;;;;;;;0;0;0;KO;KO
2026-06-30;2.1.0;Latvia_Virsliga_2026;21;Jelgava;Grobina;Jelgava - Grobina;49.24;BASSA;;;;;;;;;;;;0;1;1;KO;KO
2026-06-30;2.1.0;Australia_NPLQueenslandU23_2026;17;QLD State Team U17;Peninsula U23;QLD State Team U17 - Peninsula U23;89.13;ALTA;;;;;;;;;;;;3;4;7;OK;OK
2026-06-30;2.1.0;USA_USLLeagueTwo_GreatLakes_2026;20260629;Kalamazoo FC;Oakland County;Kalamazoo FC - Oakland County;84.9;ALTA;;;;;;;;;;;;2;0;2;KO;KO
2026-06-30;2.1.0;Australia_NPLQueenslandU23_2026;17;Rochedale U23;Moreton City Excelsior U23;Rochedale U23 - Moreton City Excelsior U23;82.14;ALTA;;;;;;;;;;;;1;3;4;OK;OK
2026-06-30;2.1.0;USA_USLLeagueTwo_MidAtlantic_2026;20260629;Reading;Eagle FC;Reading - Eagle FC;81.55;ALTA;;;;;;;;;;;;1;1;2;KO;OK
2026-06-30;2.1.0;USA_USLLeagueTwo_Chesapeake_2026;20260629;Patuxent;Hill City;Patuxent - Hill City;79.04;ALTA;;;;;;;;;;;;0;1;1;KO;KO
2026-06-30;2.1.0;USA_USLLeagueTwo_Northwest_2026;20260629;Snohomish United;Tacoma Stars;Snohomish United - Tacoma Stars;78.86;ALTA;;;;;;;;;;;;2;1;3;OK;OK
2026-06-30;2.1.0;USA_USLLeagueTwo_Northwest_2026;20260629;Portland Bangers;FC Olympia;Portland Bangers - FC Olympia;78.86;ALTA;;;;;;;;;;;;2;0;2;KO;KO
2026-06-30;2.1.0;USA_USLLeagueTwo_Mountain_2026;20260630;Colorado Storm;CISA;Colorado Storm - CISA;77.95;ALTA;;;;;;;;;;;;3;1;4;OK;OK
2026-06-30;2.1.0;USA_USLLeagueTwo_GreatLakes_2026;20260629;Midwest United;Flint City;Midwest United - Flint City;76.78;ALTA;;;;;;;;;;;;1;4;5;OK;OK
2026-06-30;2.1.0;USA_USLLeagueTwo_Northeast_2026;20260629;Boston Bolts;Western Mass Pioneers;Boston Bolts - Western Mass Pioneers;76.14;ALTA;;;;;;;;;;;;1;2;3;OK;OK
2026-06-30;2.1.0;USA_USLLeagueTwo_MidSouth_2026;20260629;Memphis FC;Mississippi Brilla;Memphis FC - Mississippi Brilla;76.08;ALTA;;;;;;;;;;;;1;3;4;OK;OK
2026-06-30;2.1.0;Australia_NPLNorthernNSW_2026;18;Newcastle Olympic;Charlestown Azzurri;Newcastle Olympic - Charlestown Azzurri;75.72;ALTA;;;;;;;;;;;;7;1;8;OK;OK
2026-06-30;2.1.0;USA_USLLeagueTwo_Ranger_2026;20260629;Fort Worth Vaqueros;McKinney Chupacabras;Fort Worth Vaqueros - McKinney Chupacabras;74.58;MEDIA;;;;;;;;;;;;1;7;8;OK;OK
2026-06-30;2.1.0;USA_USLLeagueTwo_GreatForest_2026;20260629;Erie Sports Center;Akron City;Erie Sports Center - Akron City;73.12;MEDIA;;;;;;;;;;;;1;6;7;OK;OK
2026-06-30;2.1.0;USA_USLLeagueTwo_SouthAtlantic_2026;20260630;Charlotte Eagles;Hickory;Charlotte Eagles - Hickory;71.79;MEDIA;;;;;;;;;;;;1;3;4;OK;OK
2026-06-30;2.1.0;USA_USLLeagueTwo_Chesapeake_2026;20260629;Virginia Marauders;Annapolis Blues;Virginia Marauders - Annapolis Blues;70.78;MEDIA;;;;;;;;;;;;1;4;5;OK;OK
2026-06-30;2.1.0;USA_USLLeagueTwo_GreatPlains_2026;20260629;Sunflower State;Menace;Sunflower State - Menace;69.04;MEDIA;;;;;;;;;;;;2;0;2;KO;KO
2026-06-30;2.1.0;USA_USLLeagueTwo_Southeast_2026;20260629;Inter Gainesville;Brooke House;Inter Gainesville - Brooke House;68.0;MEDIA;;;;;;;;;;;;3;1;4;OK;OK
2026-06-30;2.1.0;USA_USLLeagueTwo_Southwest_2026;20260629;Ventura;Tucson;Ventura - Tucson;56.38;BASSA;;;;;;;;;;;;2;1;3;OK;OK
2026-07-01;2.1.0;Iceland_Division_2_2026;22;Haukar;Kari;Haukar - Kari;84.66;ALTA;;;;;;;;;;;;4;1;5;OK;OK
2026-07-01;2.1.0;USA_USLLeagueTwo_Northeast_2026;20260629;NEFC;Vermont Green;NEFC - Vermont Green;84.3;ALTA;;;;;;;;;;;;0;4;4;OK;KO
2026-07-01;2.1.0;Sweden_Division2_NorraGotaland_2026;15;Husqvarna;Lidkoping;Husqvarna - Lidkoping;82.31;ALTA;;;;;;;;;;;;0;0;0;KO;KO
2026-07-01;2.1.0;USA_USLLeagueOne_2026;21;Charlotte Independ.;Corpus Christi FC;Charlotte Independ. - Corpus Christi FC;77.36;ALTA;;;;;;;;;;;;2;1;3;OK;OK
2026-07-01;2.1.0;USA_USLLeagueTwo_LoneStar_2026;20260630;Houston FC;Twin City Toucans;Houston FC - Twin City Toucans;77.14;ALTA;;;;;;;;;;;;2;2;4;OK;OK
2026-07-01;2.1.0;Latvia_Virsliga_2026;21;Tukums 2000;Super Nova;Tukums 2000 - Super Nova;74.12;MEDIA;;;;;;;;;;;;1;2;3;OK;OK
2026-07-01;2.1.0;USA_USLLeagueTwo_NorCal_2026;20260629;Project 51O;San Francisco City;Project 51O - San Francisco City;71.82;MEDIA;;;;;;;;;;;;4;2;6;OK;OK
2026-07-01;2.1.0;USA_USLLeagueTwo_SouthAtlantic_2026;20260630;Asheville City;SC United Bantams;Asheville City - SC United Bantams;70.5;MEDIA;;;;;;;;;;;;2;0;2;KO;KO
2026-07-01;2.1.0;USA_USLLeagueTwo_NorCal_2026;20260629;Glens SC;San Juan;Glens SC - San Juan;68.71;MEDIA;;;;;;;;;;;;3;0;3;OK;KO
2026-07-01;2.1.0;Sweden_Division1_Sodra_2026;15;Eskilsminne;Kristianstad;Eskilsminne - Kristianstad;68.61;MEDIA;;;;;;;;;;;;3;2;5;OK;OK
2026-07-01;2.1.0;Lithuania_ILyga_2026;16;Siauliai 2;Tauras;Siauliai 2 - Tauras;67.32;MEDIA;;;;;;;;;;;;1;3;4;OK;OK
2026-07-01;2.1.0;Lithuania_ILyga_2026;16;Atmosfera;BE1 NFA;Atmosfera - BE1 NFA;59.24;BASSA;;;;;;;;;;;;0;1;1;KO;KO
2026-07-02;2.1.0;Iceland_BestaDeildKarla_2026;18;Thor Akureyri;KR Reykjavik;Thor Akureyri - KR Reykjavik;88.73;ALTA;;;;;;;;;;;;3;3;6;OK;OK
2026-07-02;2.1.0;Finland_Kakkonen_GroupA_2026;11;PPJ;Kiffen;PPJ - Kiffen;79.46;ALTA;;;;;;;;;;;;1;2;3;OK;OK
2026-07-02;2.1.0;Iceland_BestaDeildKarla_2026;18;Vikingur Reykjavik;Akureyri;Vikingur Reykjavik - Akureyri;77.86;ALTA;;;;;;;;;;;;3;2;5;OK;OK
2026-07-02;2.1.0;USA_USLLeagueTwo_SouthCentral_2026;19;Birmingham 2;Columbus United;Birmingham 2 - Columbus United;72.09;MEDIA;;;;;;;;;;;;1;1;2;KO;OK
2026-07-02;2.1.0;Finland_Kakkonen_GroupB_2026;11;EBK;Abo;EBK - Abo;71.91;MEDIA;;;;;;;;;;;;1;6;7;OK;OK
2026-07-02;2.1.0;Estonia_Meistriliiga_2026;18;Kuressaare;Flora;Kuressaare - Flora;69.72;MEDIA;;;;;;;;;;;;0;3;3;OK;KO
2026-07-02;2.1.0;Lithuania_ILyga_2026;17;Zalgiris 2;Hegelmann Litauen 2;Zalgiris 2 - Hegelmann Litauen 2;69.05;MEDIA;;;;;;;;;;;;3;1;4;OK;OK
2026-07-02;2.1.0;Finland_Ykkonen_2026;14;Jazz Pori;KPV;Jazz Pori - KPV;68.92;MEDIA;;;;;;;;;;;;0;1;1;KO;KO
2026-07-02;2.1.0;Lithuania_ILyga_2026;17;BFA Vilnius;Ekranas;BFA Vilnius - Ekranas;68.35;MEDIA;;;;;;;;;;;;3;0;3;OK;KO
2026-07-02;2.1.0;Norway_OBOSLigaen_2026;14;Lyn;Åsane;Lyn - Åsane;63.26;MEDIA;;;;;;;;;;;;6;2;8;OK;OK
2026-07-02;2.1.0;Estonia_Esiliiga_2026;19;Tartu Welco;Viimsi JK;Tartu Welco - Viimsi JK;63.12;MEDIA;;;;;;;;;;;;2;2;4;OK;OK
2026-07-02;2.1.0;Belarus_VysshayaLiga_2026;15;FC Minsk;Din. Minsk;FC Minsk - Din. Minsk;62.58;MEDIA;;;;;;;;;;;;0;3;3;OK;KO
2026-07-02;2.1.0;Belarus_VysshayaLiga_2026;15;BATE;Gomel;BATE - Gomel;51.29;BASSA;;;;;;;;;;;;0;1;1;KO;KO
2026-07-03;2.1.0;Australia_TasmaniaSouthernChampionship_2026;13;Glenorchy Knights U21;Clarence Zebras U21;Glenorchy Knights U21 - Clarence Zebras U21;101.78;ALTA;;;;;;;;;;;;0;8;8;OK;KO
2026-07-03;2.1.0;Australia_NPLNorthernNSW_2026;19;Edgeworth E.;Kahibah;Edgeworth E. - Kahibah;91.04;ALTA;;;;;;;;;;;;2;1;3;OK;OK
2026-07-03;2.1.0;Australia_NPLQueensland_2026;17;Wynnum Wolves;Rochedale;Wynnum Wolves - Rochedale;88.11;ALTA;;;;;;;;;;;;1;1;2;KO;OK
2026-07-03;2.1.0;Australia_QueenslandPremierLeague_2026;18;Caboolture;Sunshine Coast Wanderers;Caboolture - Sunshine Coast Wanderers;84.17;ALTA;;;;;;;;;;;;1;2;3;OK;OK
2026-07-03;2.1.0;Australia_SAStateLeague_2026;17;Adelaide Olympic;Salisbury Utd.;Adelaide Olympic - Salisbury Utd.;82.62;ALTA;;;;;;;;;;;;1;0;1;KO;KO
2026-07-03;2.1.0;Australia_NSWLeagueOne_2026;22;Hurstville Zagreb;Canterbury Bankstown;Hurstville Zagreb - Canterbury Bankstown;79.43;ALTA;;;;;;;;;;;;1;2;3;OK;OK
2026-07-03;2.1.0;USA_USLLeagueTwo_Metropolitan_2026;20260630;Motown 2;Morris Elite;Motown 2 - Morris Elite;79.33;ALTA;;;;;;;;;;;;8;0;8;OK;KO
2026-07-03;2.1.0;USA_USLLeagueTwo_Southwest_2026;20260629;Redlands FC;Capo;Redlands FC - Capo;78.39;ALTA;;;;;;;;;;;;2;3;5;OK;OK
2026-07-03;2.1.0;USA_USLLeagueTwo_Mountain_2026;20260631;Flatirons;Colorado Storm;Flatirons - Colorado Storm;76.97;ALTA;;;;;;;;;;;;0;3;3;OK;KO
2026-07-03;2.1.0;Australia_NPLSouthAustralia_2026;17;Adelaide Comets;Croydon;Adelaide Comets - Croydon;75.25;ALTA;;;;;;;;;;;;1;4;5;OK;OK
2026-07-03;2.1.0;Australia_NPLNorthernNSW_2026;19;Cooks Hill United;Valentine;Cooks Hill United - Valentine;71.5;MEDIA;;;;;;;;;;;;3;1;4;OK;OK
2026-07-03;2.1.0;Australia_QueenslandPremierLeague_2026;18;Ipswich;Holland Park Hawks;Ipswich - Holland Park Hawks;71.05;MEDIA;;;;;;;;;;;;3;3;6;OK;OK
2026-07-03;2.1.0;Australia_NPLVictoria_2026;19;Heidelberg;St Albans;Heidelberg - St Albans;70.79;MEDIA;;;;;;;;;;;;1;1;2;KO;OK
2026-07-03;2.1.0;USA_USLLeagueTwo_LoneStar_2026;20260630;Lonestar SC;Laredo Heat;Lonestar SC - Laredo Heat;70.28;MEDIA;;;;;;;;;;;;1;4;5;OK;OK
2026-07-03;2.1.0;USA_USLLeagueTwo_MidSouth_2026;20260630;Red River;Little Rock Rangers;Red River - Little Rock Rangers;70.01;MEDIA;;;;;;;;;;;;1;2;3;OK;OK
2026-07-03;2.1.0;Australia_NSWLeagueOne_2026;22;Prospect United;Hakoah Sydney;Prospect United - Hakoah Sydney;69.47;MEDIA;;;;;;;;;;;;1;1;2;KO;OK
2026-07-03;2.1.0;USA_USLLeagueTwo_GreatPlains_2026;20260630;Peoria;St. Louis Ambush;Peoria - St. Louis Ambush;61.9;MEDIA;;;;;;;;;;;;2;0;2;KO;KO
2026-07-03;2.1.0;Australia_SAStateLeague_2026;17;Eastern United;Modbury;Eastern United - Modbury;61.66;MEDIA;;;;;;;;;;;;0;0;0;KO;KO
2026-07-03;2.1.0;Australia_VictoriaPremierLeague2_2026;19;Kingston City;Nunawading City;Kingston City - Nunawading City;60.82;MEDIA;;;;;;;;;;;;4;0;4;OK;KO
2026-07-03;2.1.0;Australia_VictoriaPremierLeague2_2026;19;Springvale;Keilor Park;Springvale - Keilor Park;60.57;MEDIA;;;;;;;;;;;;5;2;7;OK;OK
2026-07-03;2.1.0;Australia_NPLVictoria_2026;19;Green Gully;Bentleigh;Green Gully - Bentleigh;60.43;MEDIA;;;;;;;;;;;;3;0;3;OK;KO
2026-07-03;2.1.0;Australia_VictoriaPremierLeague2_2026;19;Box Hill;Whittlesea United;Box Hill - Whittlesea United;54.42;BASSA;;;;;;;;;;;;1;3;4;OK;OK
2026-07-03;2.1.0;Iceland_Division_1_2026;18;IR Reykjavik;Afturelding;IR Reykjavik - Afturelding;92.13;ALTA;;;;;;;;;;;;0;1;1;KO;KO
2026-07-03;2.1.0;Norway_OBOSLigaen_2026;15;Kongsvinger;Sogndal;Kongsvinger - Sogndal;92.07;ALTA;;;;;;;;;;;;5;1;6;OK;OK
2026-07-03;2.1.0;Iceland_Division_2_2026;22;KFG Gardabaer;Selfoss;KFG Gardabaer - Selfoss;89.38;ALTA;;;;;;;;;;;;2;3;5;OK;OK
2026-07-03;2.1.0;Iceland_Division_1_2026;18;Grotta;Kopavogur;Grotta - Kopavogur;84.58;ALTA;;;;;;;;;;;;2;1;3;OK;OK
2026-07-03;2.1.0;Iceland_BestaDeildKarla_2026;19;Hafnarfjordur;Stjarnan;Hafnarfjordur - Stjarnan;84.24;ALTA;;;;;;;;;;;;2;2;4;OK;OK
2026-07-03;2.1.0;FaroeIslands_1Deild_2026;16;B36 Torshavn 2;Hoyvik;B36 Torshavn 2 - Hoyvik;82.18;ALTA;;;;;;;;;;;;3;3;6;OK;OK
2026-07-03;2.1.0;Norway_OBOSLigaen_2026;15;Ranheim;Stabaek;Ranheim - Stabaek;81.61;ALTA;;;;;;;;;;;;2;5;7;OK;OK
2026-07-03;2.1.0;Estonia_Esiliiga_2026;19;Tallinna Kalev;Maardu;Tallinna Kalev - Maardu;79.2;ALTA;;;;;;;;;;;;3;3;6;OK;OK
2026-07-03;2.1.0;Kyrgyzstan_PremierLiga_2026;15;Abdysh-Ata;Alga;Abdysh-Ata - Alga;77.39;ALTA;;;;;;;;;;;;0;1;1;KO;KO
2026-07-03;2.1.0;Estonia_Meistriliiga_2026;19;Nomme Utd;Kalju;Nomme Utd - Kalju;76.46;ALTA;;;;;;;;;;;;1;3;4;OK;OK
2026-07-03;2.1.0;Norway_OBOSLigaen_2026;15;Raufoss;Strømmen;Raufoss - Strømmen;75.58;ALTA;;;;;;;;;;;;1;0;1;KO;KO
2026-07-03;2.1.0;USA_USLLeagueTwo_GreatForest_2026;20260630;Akron City;Erie Sports Center;Akron City - Erie Sports Center;75.34;ALTA;;;;;;;;;;;;4;0;4;OK;KO
2026-07-03;2.1.0;Australia_VictoriaPremierLeague_2026;19;Brunswick Juventus;Brunswick City;Brunswick Juventus - Brunswick City;73.58;MEDIA;;;;;;;;;;;;7;2;9;OK;OK
2026-07-03;2.1.0;Latvia_Virsliga_2026;21;Riga FC;Jelgava;Riga FC - Jelgava;71.42;MEDIA;;;;;;;;;;;;4;1;5;OK;OK
2026-07-03;2.1.0;Iceland_Division_1_2026;18;Aegir;Fylkir;Aegir - Fylkir;70.79;MEDIA;;;;;;;;;;;;2;4;6;OK;OK
2026-07-03;2.1.0;Belarus_PershayaLiga_2026;14;Minsk 2;Gomel 2;Minsk 2 - Gomel 2;69.18;MEDIA;;;;;;;;;;;;0;3;3;OK;KO
2026-07-03;2.1.0;Finland_Kakkonen_GroupB_2026;12;GrIFK;NJS;GrIFK - NJS;65.73;MEDIA;;;;;;;;;;;;2;0;2;KO;KO
2026-07-03;2.1.0;Sweden_Allsvenskan_2026;16;Sirius;Mjallby;Sirius - Mjallby;64.68;MEDIA;;;;;;;;;;;;4;4;8;OK;OK
2026-07-03;2.1.0;Iceland_Division_1_2026;18;Njardvik;Throttur;Njardvik - Throttur;64.49;MEDIA;;;;;;;;;;;;1;0;1;KO;KO
